Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Scaled SepalLengthCm,Scaled SepalWidthCm,Scaled PetalLengthCm,Scaled PetalWidthCm,KModesMine,KModes,Details,K Modes Mine,K Modes
1,5.1,3.5,1.4,0.2,Iris-setosa,0.7777777777777779,0.3750000000000001,0.9322033898305084,0.9583333333333333,0,0,Class,0,0
2,4.9,3.0,1.4,0.2,Iris-setosa,0.8333333333333333,0.5833333333333334,0.9322033898305084,0.9583333333333333,0,0,Label in Dataset,Iris-setosa,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa,0.8888888888888888,0.5,0.9491525423728814,0.9583333333333333,1,0,Number of elements,60,94
4,4.6,3.1,1.5,0.2,Iris-setosa,0.9166666666666667,0.5416666666666667,0.9152542372881356,0.9583333333333333,0,1,Centroid,[0.41666667 0.58333333 0.91525424 0.95833333],[0.33333333 0.58333333 0.93220339 0.95833333]
5,5.0,3.6,1.4,0.2,Iris-setosa,0.8055555555555556,0.33333333333333337,0.9322033898305084,0.9583333333333333,1,0,Class,1,1
6,5.4,3.9,1.7,0.4,Iris-setosa,0.6944444444444443,0.20833333333333348,0.8813559322033898,0.8750000000000001,1,0,Label in Dataset,Iris-virginica,Iris-virginica
7,4.6,3.4,1.4,0.3,Iris-setosa,0.9166666666666667,0.4166666666666668,0.9322033898305084,0.9166666666666667,2,0,Number of elements,48,26
8,5.0,3.4,1.5,0.2,Iris-setosa,0.8055555555555556,0.4166666666666668,0.9152542372881356,0.9583333333333333,0,1,Centroid,[0.80555556 0.58333333 0.30508475 0.95833333],[0.80555556 0.41666667 0.91525424 0.95833333]
9,4.4,2.9,1.4,0.2,Iris-setosa,0.9722222222222221,0.6250000000000001,0.9322033898305084,0.9583333333333333,0,0,Class,2,2
10,4.9,3.1,1.5,0.1,Iris-setosa,0.8333333333333333,0.5416666666666667,0.9152542372881356,1.0,0,1,Label in Dataset,Iris-versicolor,Iris-versicolor
11,5.4,3.7,1.5,0.2,Iris-setosa,0.6944444444444443,0.2916666666666667,0.9152542372881356,0.9583333333333333,0,1,Number of elements,42,30
12,4.8,3.4,1.6,0.2,Iris-setosa,0.8611111111111112,0.4166666666666668,0.8983050847457628,0.9583333333333333,0,1,Centroid,[0.61111111 0.66666667 0.37288136 0.5       ],[0.61111111 0.66666667 0.40677966 0.5       ]
13,4.8,3.0,1.4,0.1,Iris-setosa,0.8611111111111112,0.5833333333333334,0.9322033898305084,1.0,0,0,Cost,476.0,458.0
14,4.3,3.0,1.1,0.1,Iris-setosa,1.0,0.5833333333333334,0.9830508474576272,1.0,0,0,Dunn Index,0.009625148029123835,0.0094959671488716
15,5.8,4.0,1.2,0.2,Iris-setosa,0.5833333333333334,0.1666666666666668,0.9661016949152542,0.9583333333333333,0,0,Davies Bouldin Score,0.9761975938156747,0.6362664972740824
16,5.7,4.4,1.5,0.4,Iris-setosa,0.611111111111111,0.0,0.9152542372881356,0.8750000000000001,2,1,Silhouette Score,0.4926870774471589,0.5547137519706581
17,5.4,3.9,1.3,0.4,Iris-setosa,0.6944444444444443,0.20833333333333348,0.9491525423728814,0.8750000000000001,0,0,Calinski Harabasz Score,190.7065550665201,226.44035141438212
18,5.1,3.5,1.4,0.3,Iris-setosa,0.7777777777777779,0.3750000000000001,0.9322033898305084,0.9166666666666667,1,0,Jaccard Score,0.3274336283185841,0.1952191235059761
19,5.7,3.8,1.7,0.3,Iris-setosa,0.611111111111111,0.25000000000000017,0.8813559322033898,0.9166666666666667,2,2,Fowlkes Mallows Score,0.37694093259787065,0.43501304327926715
20,5.1,3.8,1.5,0.3,Iris-setosa,0.7777777777777779,0.25000000000000017,0.9152542372881356,0.9166666666666667,0,1,Rand Index,0.585503355704698,0.5500671140939597
21,5.4,3.4,1.7,0.2,Iris-setosa,0.6944444444444443,0.4166666666666668,0.8813559322033898,0.9583333333333333,1,1,F1 Score,0.4933333333333334,0.32666666666666666
22,5.1,3.7,1.5,0.4,Iris-setosa,0.7777777777777779,0.2916666666666667,0.9152542372881356,0.8750000000000001,0,1,,,
23,4.6,3.6,1.0,0.2,Iris-setosa,0.9166666666666667,0.33333333333333337,1.0,0.9583333333333333,1,0,,,
24,5.1,3.3,1.7,0.5,Iris-setosa,0.7777777777777779,0.4583333333333335,0.8813559322033898,0.8333333333333334,0,0,,,
25,4.8,3.4,1.9,0.2,Iris-setosa,0.8611111111111112,0.4166666666666668,0.847457627118644,0.9583333333333333,0,1,,,
26,5.0,3.0,1.6,0.2,Iris-setosa,0.8055555555555556,0.5833333333333334,0.8983050847457628,0.9583333333333333,1,0,,,
27,5.0,3.4,1.6,0.4,Iris-setosa,0.8055555555555556,0.4166666666666668,0.8983050847457628,0.8750000000000001,1,1,,,
28,5.2,3.5,1.5,0.2,Iris-setosa,0.7499999999999999,0.3750000000000001,0.9152542372881356,0.9583333333333333,0,1,,,
29,5.2,3.4,1.4,0.2,Iris-setosa,0.7499999999999999,0.4166666666666668,0.9322033898305084,0.9583333333333333,1,0,,,
30,4.7,3.2,1.6,0.2,Iris-setosa,0.8888888888888888,0.5,0.8983050847457628,0.9583333333333333,0,0,,,
31,4.8,3.1,1.6,0.2,Iris-setosa,0.8611111111111112,0.5416666666666667,0.8983050847457628,0.9583333333333333,1,0,,,
32,5.4,3.4,1.5,0.4,Iris-setosa,0.6944444444444443,0.4166666666666668,0.9152542372881356,0.8750000000000001,0,1,,,
33,5.2,4.1,1.5,0.1,Iris-setosa,0.7499999999999999,0.12500000000000028,0.9152542372881356,1.0,0,1,,,
34,5.5,4.2,1.4,0.2,Iris-setosa,0.6666666666666666,0.0833333333333334,0.9322033898305084,0.9583333333333333,0,0,,,
35,4.9,3.1,1.5,0.1,Iris-setosa,0.8333333333333333,0.5416666666666667,0.9152542372881356,1.0,0,1,,,
36,5.0,3.2,1.2,0.2,Iris-setosa,0.8055555555555556,0.5,0.9661016949152542,0.9583333333333333,1,1,,,
37,5.5,3.5,1.3,0.2,Iris-setosa,0.6666666666666666,0.3750000000000001,0.9491525423728814,0.9583333333333333,1,0,,,
38,4.9,3.1,1.5,0.1,Iris-setosa,0.8333333333333333,0.5416666666666667,0.9152542372881356,1.0,0,1,,,
39,4.4,3.0,1.3,0.2,Iris-setosa,0.9722222222222221,0.5833333333333334,0.9491525423728814,0.9583333333333333,1,0,,,
40,5.1,3.4,1.5,0.2,Iris-setosa,0.7777777777777779,0.4166666666666668,0.9152542372881356,0.9583333333333333,0,1,,,
41,5.0,3.5,1.3,0.3,Iris-setosa,0.8055555555555556,0.3750000000000001,0.9491525423728814,0.9166666666666667,1,1,,,
42,4.5,2.3,1.3,0.3,Iris-setosa,0.9444444444444444,0.8750000000000001,0.9491525423728814,0.9166666666666667,2,0,,,
43,4.4,3.2,1.3,0.2,Iris-setosa,0.9722222222222221,0.5,0.9491525423728814,0.9583333333333333,0,0,,,
44,5.0,3.5,1.6,0.6,Iris-setosa,0.8055555555555556,0.3750000000000001,0.8983050847457628,0.7916666666666666,1,1,,,
45,5.1,3.8,1.9,0.4,Iris-setosa,0.7777777777777779,0.25000000000000017,0.847457627118644,0.8750000000000001,1,0,,,
46,4.8,3.0,1.4,0.3,Iris-setosa,0.8611111111111112,0.5833333333333334,0.9322033898305084,0.9166666666666667,1,0,,,
47,5.1,3.8,1.6,0.2,Iris-setosa,0.7777777777777779,0.25000000000000017,0.8983050847457628,0.9583333333333333,0,0,,,
48,4.6,3.2,1.4,0.2,Iris-setosa,0.9166666666666667,0.5,0.9322033898305084,0.9583333333333333,0,0,,,
49,5.3,3.7,1.5,0.2,Iris-setosa,0.7222222222222222,0.2916666666666667,0.9152542372881356,0.9583333333333333,0,1,,,
